ex2PEOE_VSA9,R,ex2BCUT2D_CHGHI,pieceSMR_VSA6,pieceFpDensityMorgan2,preBCUT2D_MWHI,pieceBCUT2D_MRLOW,polol_mw,piecePEOE_VSA10,pieceVSA_EState6,pieceVSA_EState9,preSlogP_VSA5,piecePEOE_VSA7,ex2MinAbsEStateIndex,ex1PEOE_VSA2,ex1VSA_EState4,piece_mw,ex2BCUT2D_LOGPHI,pieceHallKierAlpha,pieceSPS,polyol_ratio,ex2FpDensityMorgan3,ex1VSA_EState7,mac_rate,pieceBCUT2D_MWHI,extender1_ratio,pieceMinAbsEStateIndex,pieceMaxAbsEStateIndex,ex2BCUT2D_LOGPLOW,Diisocyanate_ratio,Hs_wt,pieceqed,pieceBCUT2D_MRHI,ex2FpDensityMorgan1,extender2_ratio,pieceBalabanJ,pieceEState_VSA6,pieceMaxPartialCharge,pieceMinEStateIndex,piecePEOE_VSA9,ex2PEOE_VSA7,ex2MolLogP,pieceNumAliphaticHeterocycles,ex1PEOE_VSA9,pieceVSA_EState5,pieceVSA_EState2,ex2MaxPartialCharge,pieceBertzCT,ex2TPSA
0,1,1.748758439,2038.882821,0.055066079,16.58111082,0.075254584,2000,0,136.410572,6.319777146,394.6614601,2257.916393,0.775,0,12.82800842,12946.292,1.767324744,-30.62,11.68942731,0.25,1.333333333,0,100,33.11475595,0.25,0.255902247,13.11577373,-2.034687889,0.5,0.2724336,0.00956017,8.763785225,0.833333333,0,0.183902784,35.68313992,0.411111954,-0.497732123,66.06881965,25.93115606,-0.316,0,0,0,202.2988308,-0.00768043,22438.11175,52.04
0,1,1.748758439,2053.030841,0.058888889,16.58111082,0.075254584,2000,13.21376393,121.5772912,5.944611923,394.6614601,2209.385457,0.775,0,0,12853.156,1.767324744,-29.06,11.69555556,0.25,1.333333333,0,100,33.11471323,0.25,0.199617181,12.78634875,-2.034687889,0.5,0.246639069,0.009560173,8.763545696,0.833333333,0,0.203464664,7.047671983,0.411141953,-0.55220665,73.17861719,25.93115606,-0.316,0,13.21376393,1.094984033,199.1399434,-0.00768043,21563.1275,52.04
0,1,1.748758439,2040.002821,0.054565702,16.58111082,0.075254584,2000,0,120.995096,5.959104346,394.6614601,2209.385457,0.775,0,10.20231481,12822.15,1.767324744,-29.06,11.69487751,0.25,1.333333333,0,100,33.11472506,0.25,0.25589754,12.78633415,-2.034687889,0.5,0.238022088,0.007283329,8.763229423,0.833333333,0,0.203505544,14.09534397,0.411111954,-0.500081417,77.82239642,25.93115606,-0.316,0,0,0.632834553,199.5161789,-0.00768043,21175.80896,52.04
0,1,1.748758439,2053.974546,0.064977974,16.58111082,-0.142504728,2000,12.08368166,117.1933814,7.995793201,394.6614601,2209.385457,0.775,9.589074368,10.99799477,12966.276,1.767324744,-30.12,11.75330396,0.25,1.333333333,0,100,33.114715,0.25,0.061954645,13.30450219,-2.034687889,0.5,0.277684719,0.007283329,8.763880693,0.833333333,0,0.205104,38.36081224,0.411111954,-1.066512185,80.28841473,25.93115606,-0.316,0,14.21959508,-1.234797385,226.6304892,-0.00768043,22015.45256,52.04
0,1,1.748758439,2028.31137,0.064977974,16.58111082,0.075254584,2000,11.49902367,136.0406581,5.973275892,394.6614601,2257.916393,0.775,0,0,12949.244,1.767324744,-30.62,11.68942731,0.25,1.333333333,0,100,33.114756,0.25,0.255908018,12.99953198,-2.034687889,0.5,0.272954111,0.009560173,8.763781399,0.833333333,0,0.183902784,31.31314026,0.416587117,-0.617665228,73.17861719,25.93115606,-0.316,0,0,0.775920064,201.8271845,-0.00768043,22429.01655,52.04
0,1,1.748758439,2053.030841,0.058758315,16.58111082,0.075254584,2000,0,121.7585422,6.274815528,394.6614601,2222.2271,0.775,0,0,12881.21,1.767324744,-29.06,11.6962306,0.25,1.333333333,1.743634259,100,33.11471331,0.25,0.255900597,12.7863736,-2.034687889,0.5,0.254516882,0.009560173,8.763371975,0.833333333,0,0.203423825,28.63546794,0.411112439,-0.51465947,86.39238112,25.93115606,-0.316,0,0,1.577283654,199.1411686,-0.00768043,21597.54905,52.04
0,1,1.748758439,2053.974546,0.064977974,16.58111082,-0.142504728,2000,12.08368166,117.1933814,7.995793201,394.6614601,2209.385457,0.775,9.589074368,10.99799477,12966.276,1.767324744,-30.12,11.75330396,0.25,1.333333333,0,100,33.114715,0.25,0.061954645,13.30450219,-2.034687889,0.5,0.277684719,0.007283329,8.763880693,0.833333333,0,0.205104,38.36081224,0.411111954,-1.066512185,80.28841473,25.93115606,-0.316,0,14.21959508,-1.234797385,226.6304892,-0.00768043,22015.45256,52.04
0,1,1.748758439,2054.738898,0.067538126,16.58111082,0.040328389,2000,26.42752786,134.5718854,5.398018947,394.6614601,2233.650925,0.775,0,0.775533627,13093.37,1.767324744,-31.68,11.67538126,0.25,1.333333333,0,100,33.114758,0.25,0.212345587,13.47010769,-2.034687889,0.5,0.309149895,0.007283331,8.764195664,0.833333333,0,0.184670492,79.8440768,0.411237891,-0.727558386,84.30552017,25.93115606,-0.316,0,24.34066691,-1.269554628,227.7919216,-0.00768043,22851.83809,52.04
0,1,1.748758439,2054.738898,0.066160521,16.58111082,0.047807013,2000,0,135.4378183,5.53548948,394.6614601,2259.334212,0.775,0,0.922332611,13149.478,1.767324744,-31.68,11.67678959,0.25,1.333333333,2.401792645,100,33.11475851,0.25,0.101682026,13.4709064,-2.034687889,0.5,0.322284768,0.007283331,8.764200315,0.833333333,0,0.184595217,31.31314026,0.411111959,-0.608063765,110.733048,25.93115606,-0.316,0,24.34066691,-1.021098146,227.8168642,-0.00768043,22922.28252,52.04
0,1,1.748758439,2054.738898,0.066954644,16.58111082,0.048362385,2000,0,135.9963235,5.621556042,394.6614601,2285.017498,0.775,0,0.99684277,13205.586,1.767324744,-31.68,11.67818575,0.25,1.333333333,6.740732236,100,33.11475903,0.25,0.22137541,13.46659416,-2.034687889,0.5,0.334929503,0.007283331,8.764204985,0.833333333,0,0.184520022,31.31314026,0.411111954,-0.547134009,110.733048,25.93115606,-0.316,0,24.34066691,-0.891138469,227.8102561,-0.00768043,23010.71737,52.04
0,1,1.955122043,2036.426886,0.051198257,16.58111082,0.075254584,2000,0,152.0982826,6.319787548,394.6614601,2293.308765,0.815958023,0,12.82800842,13070.434,2.109394655,-32.18,11.68409586,0.25,1.1875,0,100,33.11475722,0.25,0.255926084,13.12523903,-1.926381819,0.5,0.2724336,0.00956017,8.763801476,0.5625,0,0.167992227,35.68313992,0.411111954,-0.497740344,66.06881965,48.2340145,2.6362,0,0,0,203.0609117,0.031367601,22872.68676,52.04
0,1,1.955122043,2050.574905,0.056043956,16.58111082,0.075254584,2000,13.21376393,137.2649497,5.944622371,394.6614601,2244.777828,0.815958023,0,0,12977.298,2.109394655,-30.62,11.69010989,0.25,1.1875,0,100,33.1147145,0.25,0.199604592,13.12510916,-1.926381819,0.5,0.246639069,0.009560173,8.763561101,0.5625,0,0.183859762,7.047671983,0.411141953,-0.552214548,73.17861719,48.2340145,2.6362,0,13.21376393,1.094959066,199.9020528,0.031367601,22463.61594,52.04
0,1,1.955122043,2037.546885,0.053964758,16.58111082,0.075254584,2000,0,136.6827811,5.959114724,394.6614601,2244.777828,0.815958023,0,10.20231481,12946.292,2.109394655,-30.62,11.68942731,0.25,1.1875,0,100,33.11472633,0.25,0.255921448,13.12509457,-1.926381819,0.5,0.238022088,0.007283329,8.76324488,0.5625,0,0.183902784,14.09534397,0.411111954,-0.500089638,77.82239642,48.2340145,2.6362,0,0,0.632809501,200.2782918,0.031367601,22438.11175,52.04
0,1,1.955122043,2051.518611,0.062091503,16.58111082,-0.142504728,2000,12.08368166,132.8806986,7.995807214,394.6614601,2244.777828,0.815958023,9.589074368,10.99799477,13090.418,2.109394655,-31.68,11.74727669,0.25,1.1875,0,100,33.11471628,0.25,0.061942098,13.30464662,-1.926381819,0.5,0.277684719,0.007283329,8.763896536,0.5625,0,0.18528877,38.36081224,0.411111954,-1.066529516,80.28841473,48.2340145,2.6362,0,14.21959508,-1.234837866,227.3928742,0.031367601,22913.79885,52.04
0,1,1.955122043,2025.855434,0.062091503,16.58111082,0.075254584,2000,11.49902367,151.7283111,5.97328639,394.6614601,2293.308765,0.815958023,0,0,13073.386,2.109394655,-32.18,11.68409586,0.25,1.1875,0,100,33.11475728,0.25,0.255931759,13.12522876,-1.926381819,0.5,0.272954111,0.009560173,8.763797628,0.5625,0,0.167992227,31.31314026,0.416587117,-0.617673126,73.17861719,48.2340145,2.6362,0,0,0.7759046,202.589266,0.031367601,22863.59156,52.04
0,1,1.955122043,2050.574905,0.055921053,16.58111082,0.075254584,2000,0,137.4462322,6.27482595,394.6614601,2257.619471,0.815958023,0,0,13005.352,2.109394655,-30.62,11.69078947,0.25,1.1875,1.743634259,100,33.11471459,0.25,0.255924465,13.12513401,-1.926381819,0.5,0.254516882,0.009560173,8.763387376,0.5625,0,0.183816817,28.63546794,0.411112439,-0.514667368,86.39238112,48.2340145,2.6362,0,0,1.577258771,199.903274,0.031367601,22498.22285,52.04
0,1,1.955122043,2051.518611,0.062091503,16.58111082,-0.142504728,2000,12.08368166,132.8806986,7.995807214,394.6614601,2244.777828,0.815958023,9.589074368,10.99799477,13090.418,2.109394655,-31.68,11.74727669,0.25,1.1875,0,100,33.11471628,0.25,0.061942098,13.30464662,-1.926381819,0.5,0.277684719,0.007283329,8.763896536,0.5625,0,0.18528877,38.36081224,0.411111954,-1.066529516,80.28841473,48.2340145,2.6362,0,14.21959508,-1.234837866,227.3928742,0.031367601,22913.79885,52.04
0,1,1.955122043,2052.282962,0.064655172,16.58111082,0.040328389,2000,26.42752786,150.2592293,5.398029858,394.6614601,2269.043296,0.815958023,0,0.775533627,13217.512,2.109394655,-33.24,11.67025862,0.25,1.1875,0,100,33.11475928,0.25,0.212357642,13.47024962,-1.926381819,0.5,0.309149895,0.007283331,8.764212334,0.5625,0,0.168652181,79.8440768,0.411237891,-0.727566284,84.30552017,48.2340145,2.6362,0,24.34066691,-1.26956999,228.5542713,0.031367601,23755.82078,52.04
0,1,1.955122043,2052.282962,0.063304721,16.58111082,0.047807013,2000,0,151.1252264,5.535500335,394.6614601,2294.726583,0.815958023,0,0.922332611,13273.62,2.109394655,-33.24,11.67167382,0.25,1.1875,2.401792645,100,33.11475979,0.25,0.101669564,13.47104736,-1.926381819,0.5,0.322284768,0.007283331,8.764217024,0.5625,0,0.168573193,31.31314026,0.411111959,-0.608071663,110.733048,48.2340145,2.6362,0,24.34066691,-1.021113408,228.5792045,0.031367601,23836.57967,52.04
0,1,1.955122043,2052.282962,0.064102564,16.58111082,0.048362385,2000,0,151.6837947,5.621566843,394.6614601,2320.409869,0.815958023,0,0.99684277,13329.728,2.109394655,-33.24,11.67307692,0.25,1.1875,6.740732236,100,33.11476031,0.25,0.22136303,13.46673414,-1.926381819,0.5,0.334929503,0.007283331,8.764221735,0.5625,0,0.168494411,31.31314026,0.411111954,-0.547141907,110.733048,48.2340145,2.6362,0,24.34066691,-0.891153633,228.5725871,0.031367601,23917.36709,52.04
0,1,2.043233864,2037.779105,0.074398249,16.58111082,0.075254584,2000,0,135.5795771,6.069471956,394.6614601,2251.998487,0.06000189,0,12.82800842,13028.306,1.991367908,-31.74,11.68818381,0.25,2.833333333,0,100,33.1147568,0.25,0.050559518,13.22039417,-2.187983653,0.5,0.2724336,0.00956017,8.763793393,1.666666667,0,0.175914759,59.82467341,0.411123361,-0.69437518,79.78549915,6.9237372,-0.80468,0,0,-0.050559518,222.9193524,0.277448476,23321.8017,92
0,1,2.043233864,2051.927124,0.070640177,16.58111082,0.075254584,2000,13.21376393,120.7466311,5.69430603,394.6614601,2203.467551,0.06000189,0,0,12935.17,1.991367908,-30.18,11.69426049,0.25,2.833333333,0,100,33.11471408,0.25,0.050559239,13.22026617,-2.187983653,0.5,0.246639069,0.009560179,8.763553439,1.666666667,0,0.193528137,31.18920547,0.411141953,-0.694374899,86.89529669,6.9237372,-0.80468,0,13.21376393,1.044342937,219.760365,0.277448476,22455.9926,92
0,1,2.043233864,2038.899104,0.077433628,16.58111082,0.075254584,2000,0,120.1643245,5.708798067,394.6614601,2203.467551,0.06000189,0,10.20231481,12904.164,1.991367908,-30.18,11.69358407,0.25,2.833333333,0,100,33.11472591,0.25,0.050551704,13.22025172,-2.187983653,0.5,0.238022088,0.007283329,8.763237192,1.666666667,0,0.193571989,38.23687746,0.411123361,-0.694367544,91.53907593,6.9237372,-0.80468,0,0,0.582200672,220.1365938,0.277448476,22430.60405,92
0,1,2.043233864,2052.87083,0.083150985,16.58111082,-0.142504728,2000,12.08368166,116.3626141,7.745426485,394.6614601,2203.467551,0.06000189,9.589074368,10.99799477,13048.29,1.991367908,-31.24,11.75164114,0.25,2.833333333,0,100,33.11471586,0.25,0.05060792,13.30457325,-2.187983653,0.5,0.277684719,0.007283329,8.763888656,1.666666667,0,0.195051797,62.50234573,0.411123361,-1.06655691,94.00509423,6.9237372,-0.80468,0,14.21959508,-1.285561999,247.2511415,0.277448476,22906.20299,92
0,1,2.043233864,2027.207653,0.076586433,16.58111082,0.075254584,2000,11.49902367,135.209775,5.722970734,394.6614601,2251.998487,0.06000189,0,0,13031.258,1.991367908,-31.74,11.68818381,0.25,2.833333333,0,100,33.11475686,0.25,0.050569751,13.22038406,-2.187983653,0.5,0.272954111,0.009560179,8.763789556,1.666666667,0,0.175914759,55.45467375,0.416587117,-0.694385148,86.89529669,6.9237372,-0.80468,0,0,0.725275755,222.4476758,0.277448476,23312.62966,92
0,1,2.043233864,2051.927124,0.070484581,16.58111082,0.075254584,2000,0,120.9278802,6.024509987,394.6614601,2216.309194,0.06000189,0,0,12963.224,1.991367908,-30.18,11.69493392,0.25,2.833333333,1.743634259,100,33.11471417,0.25,0.050556433,13.22029072,-2.187983653,0.5,0.254516882,0.009560179,8.763379715,1.666666667,0,0.193484357,52.77700143,0.411123361,-0.694372183,100.1090606,6.9237372,-0.80468,0,0,1.526645682,219.7616274,0.277448476,22490.56075,92
0,1,2.043233864,2052.87083,0.083150985,16.58111082,-0.142504728,2000,12.08368166,116.3626141,7.745426485,394.6614601,2203.467551,0.06000189,9.589074368,10.99799477,13048.29,1.991367908,-31.24,11.75164114,0.25,2.833333333,0,100,33.11471586,0.25,0.05060792,13.30457325,-2.187983653,0.5,0.277684719,0.007283329,8.763888656,1.666666667,0,0.195051797,62.50234573,0.411123361,-1.06655691,94.00509423,6.9237372,-0.80468,0,14.21959508,-1.285561999,247.2511415,0.277448476,22906.20299,92
0,1,2.043233864,2053.635181,0.079004329,16.58111082,0.040328389,2000,26.42752786,133.7410931,5.147714637,394.6614601,2227.733019,0.06000189,0,0.775533627,13175.384,1.991367908,-32.8,11.67424242,0.25,2.833333333,0,100,33.11475886,0.25,0.050621134,13.47017744,-2.187983653,0.5,0.309149895,0.007283335,8.764204043,1.666666667,0,0.176619224,103.9856103,0.411237891,-0.727596615,98.02219968,6.9237372,-0.80468,0,24.34066691,-1.320249739,248.4126288,0.277448476,23746.65401,92
0,1,2.043233864,2053.635181,0.077586207,16.58111082,0.047807013,2000,0,134.6070234,5.28518585,394.6614601,2253.416306,0.06000189,0,0.922332611,13231.492,1.991367908,-32.8,11.67564655,0.25,2.833333333,2.401792645,100,33.11475937,0.25,0.050615172,13.47097565,-2.187983653,0.5,0.322284768,0.007283335,8.764208713,1.666666667,0,0.176538857,55.45467375,0.411123361,-0.694429385,124.4497275,6.9237372,-0.80468,0,24.34066691,-1.071786726,248.4376428,0.277448476,23827.33958,92
0,1,2.043233864,2053.635181,0.07832618,16.58111082,0.048362385,2000,0,135.165526,5.371253083,394.6614601,2279.099592,0.06000189,0,0.99684277,13287.6,1.991367908,-32.8,11.67703863,0.25,2.833333333,6.740732236,100,33.11475989,0.25,0.050609316,13.46666289,-2.187983653,0.5,0.334929503,0.007283335,8.764213404,1.666666667,0,0.176458678,55.45467375,0.411123361,-0.694423717,124.4497275,6.9237372,-0.80468,0,24.34066691,-0.941820631,248.4311052,0.277448476,23908.05381,92
0,1,1.768324594,387.3487069,0.111332008,16.59591974,-0.1455477,1000,0,129.7318122,5.901384537,227.7200979,1166.376718,0.195,0,12.82800842,7059.489,1.802227409,-45.22,10.84294235,0.25,1.333333333,0,100,33.11470305,0.25,0.020702231,13.09610599,-1.849294283,0.5,0.42820875,0.005532695,8.763415314,0.833333333,0,0.223527292,181.9910121,0.418877773,-0.945688953,284.5988401,12.84164325,-0.2488,0,0,-14.89348641,695.0064945,0.043137008,18886.12738,40.46
0,1,1.768324594,401.4967264,0.098989899,16.59591974,-0.1455477,1000,13.21376393,115.3530082,5.516848833,227.7200979,1117.845781,0.195,0,0,6966.353,1.802227409,-43.66,10.84040404,0.25,1.333333333,0,100,33.11466052,0.25,0.020716606,12.63862235,-1.849294283,0.5,0.39568641,0.005532738,8.763194957,0.833333333,0,0.245448998,218.3892145,0.418877773,-0.945892536,291.7086376,12.84164325,-0.2488,0,13.21376393,-13.92659293,691.7172831,0.043137008,18065.28569,40.46
0,1,1.768324594,388.4687065,0.115618661,16.59591974,-0.1455477,1000,0,114.5975255,5.526509884,227.7200979,1117.845781,0.195,0,10.20231481,6935.347,1.802227409,-43.66,10.8356998,0.25,1.333333333,0,100,33.11467234,0.25,0.020673514,12.74277814,-1.849294283,0.5,0.384519938,0.004202581,8.762877487,0.833333333,0,0.24574645,206.2564803,0.418877773,-0.945818071,296.3524168,12.84164325,-0.2488,0,0,-14.38268591,692.1188303,0.043137008,17630.77829,40.46
0,1,1.768324594,402.440432,0.125248509,16.59591974,-0.1455477,1000,12.08368166,110.6920335,7.48438354,227.7200979,1117.845781,0.195,9.589074368,10.99799477,7079.473,1.802227409,-44.72,10.9582505,0.25,1.333333333,0,100,33.11466223,0.25,0.011956117,13.28395336,-1.849294283,0.5,0.434668608,0.005532695,8.763520074,0.833333333,0,0.249065755,206.2564803,0.418877773,-1.117967116,298.8184351,12.84164325,-0.2488,0,14.21959508,-16.46137814,719.4723703,0.043137008,18479.25055,40.46
0,1,1.768324594,376.7772553,0.109343936,16.59591974,-0.1455477,1000,11.49902367,129.5010963,5.554501513,227.7200979,1166.376718,0.195,0,0,7062.441,1.802227409,-45.22,10.84294235,0.25,1.333333333,0,100,33.1147031,0.25,0.020793979,12.97978871,-1.849294283,0.5,0.428851455,0.005532738,8.763411972,0.833333333,0,0.223527292,242.6546827,0.418877773,-0.94597269,291.7086376,12.84164325,-0.2488,0,0,-14.24034003,694.5042581,0.043137008,18878.34676,40.46
0,1,1.768324594,401.4967264,0.098591549,16.59591974,-0.1455477,1000,0,115.5555955,5.851865147,227.7200979,1130.687424,0.195,0,0,6994.407,1.802227409,-43.66,10.84507042,0.25,1.333333333,1.743634259,100,33.11466059,0.25,0.020666077,12.6387293,-1.849294283,0.5,0.405760793,0.005532738,8.763021345,0.833333333,0,0.24515236,239.9770104,0.418877773,-0.945676816,304.9224015,12.84164325,-0.2488,0,0,-13.41975742,691.7263583,0.043137008,18109.58167,40.46
0,1,1.768324594,402.440432,0.125248509,16.59591974,-0.1455477,1000,12.08368166,110.6920335,7.48438354,227.7200979,1117.845781,0.195,9.589074368,10.99799477,7079.473,1.802227409,-44.72,10.9582505,0.25,1.333333333,0,100,33.11466223,0.25,0.011956117,13.28395336,-1.849294283,0.5,0.434668608,0.005532695,8.763520074,0.833333333,0,0.249065755,206.2564803,0.418877773,-1.117967116,298.8184351,12.84164325,-0.2488,0,14.21959508,-16.46137814,719.4723703,0.043137008,18479.25055,40.46
0,1,1.768324594,403.2047831,0.113060429,16.59591974,-0.1455477,1000,26.42752786,128.0912639,4.986033057,227.7200979,1142.111249,0.195,0,0.775533627,7206.567,1.802227409,-46.28,10.83430799,0.25,1.333333333,0,100,33.11470503,0.25,0.021255835,13.44846125,-1.849294283,0.5,0.472291059,0.005532738,8.763816317,0.833333333,0,0.224708196,266.920151,0.418877773,-0.9472673,302.8355406,12.84164325,-0.2488,0,24.34066691,-16.36467545,720.5649679,0.043137008,19301.82478,40.46
0,1,1.768324594,403.2047831,0.110251451,16.59591974,-0.1455477,1000,0,129.0096873,5.130378807,227.7200979,1167.794536,0.195,0,0.922332611,7262.675,1.802227409,-46.28,10.84332689,0.25,1.333333333,2.401792645,100,33.11470552,0.25,0.02115004,13.44924293,-1.849294283,0.5,0.487466506,0.005532738,8.763820099,0.833333333,0,0.224150491,266.920151,0.418877773,-0.94681241,329.2630684,12.84164325,-0.2488,0,24.34066691,-16.06933734,720.5905315,0.043137008,19379.08084,40.46
0,1,1.768324594,403.2047831,0.10940499,16.59591974,-0.1455477,1000,0,129.6135935,5.222439531,227.7200979,1193.477822,0.195,0,0.99684277,7318.783,1.802227409,-46.28,10.85220729,0.25,1.333333333,6.740732236,100,33.114706,0.25,0.021049815,13.44498977,-1.849294283,0.5,0.501793543,0.005532738,8.763823898,0.833333333,0,0.223596501,242.6546827,0.418877773,-0.946409117,329.2630684,12.84164325,-0.2488,0,24.34066691,-15.89924096,720.5867422,0.043137008,19472.36686,40.46
0,1,1.748758439,387.1623302,0.115308151,16.59591974,-0.1455477,1000,0,129.3275574,6.151758865,227.7200979,1166.376718,0.775,0,12.82800842,7056.537,1.767324744,-45.22,10.84294235,0.25,1.333333333,0,100,33.11470299,0.25,0.020269518,13.09615479,-2.034687889,0.5,0.42820875,0.005532693,8.763416025,0.833333333,0,0.223527292,145.5928096,0.418877773,-0.945574342,264.2752786,25.93115606,-0.316,0,0,-14.86047945,695.4227126,-0.00768043,18893.09687,52.04
